COLL./SCH.,POT,CRN,SUB,CRSE,SEC,DAYS,TIME,ROOM,INSTRUCTOR,MEETING TYPE,SEATS,PERM,LAB FEES,CREDITS,SCHEDULE NOTES,
AS,1,11023,CSC,101,1,T,5:00pm -7:30pm,MO 13,"Staff, TBA",LEC,18,,,3,     ,
AS,1,11024,CSC,104,1,, -,ONLINE ASYN,"Young, John",LEC,18,,,3,     ,
AS,1,11025,CSC,104,2,, -,ONLINE ASYN,"Young, John",LEC,18,,,3,     ,
AS,1,12383,CSC,104,3,TR,11:00am -12:15pm,JE 139A,"Sheta, Alaa",LEC,16,,,3,     ,
AS,1,11027,CSC,152,2,TR,1:50pm -3:05pm,JE 139A,"Yu Ng, Winnie",LEC,14,,,3,,
AS,1,11028,CSC,152,3,MWF,10:10am -11:00am,JE 139A,"Kim, Chang Suk",LEC,14,,,3,     ,
AS,1,11030,CSC,152,5,TR,3:25pm -4:40pm,MO 113,"Sheta, Alaa",LEC,14,,,3,     ,
AS,1,11022,DSC,101,1,TBD,TBD,TBD,"Staff, TBA",LEC,16,,,3,,
AS,1,11031,CSC,200,1,TR,8:10am -9:25am,ONLINE SYNC,"Brignola, Joseph",LEC,18,,,3,     ,
AS,1,11032,CSC,200,2,TR,9:35am -10:50am,ONLINE SYNC,"Brignola, Joseph",LEC,18,,,3,     ,
AS,1,11033,CSC,200,3,MWF,9:10am -10:00am,MO 113,"Kim, Chang Suk",LEC,18,,,3,     ,
AS,1,11034,CSC,200,4,MW,2:00pm -3:15pm,MO 8,"DaPonte, John",LEC,18,,,3,     ,
AS,1,11035,CSC,200,5,MW,3:25pm -4:40pm,MO 8,"DaPonte, John",LEC,18,,,3,     ,
AS,1,11036,CSC,200,6,M,6:15pm -7:30pm,MO 13,"Staff, TBA",LEC,18,,,3,Hybrid Course     ,
AS,1,11037,CSC,200,7,TR,11:00am -12:15pm,BU 206,"Jannat, Tasnima",LEC,18,,,3,     ,
AS,1,11038,CSC,200,8,TR,12:25pm -1:40pm,BU 206,"Jannat, Tasnima",LEC,18,,,3,     ,
AS,1,11039,CSC,200,9,T,3:25pm -4:40pm,ONLINE SYNC,"Goralski, Joseph",LEC,18,,,3,Additional Asynchronous Lecture Content Required     ,
AS,1,11040,CSC,200,10,R,3:25pm -4:40pm,ONLINE SYNC,"Goralski, Joseph",LEC,18,,,3,Additional Asynchronous Lecture Content Required     ,
AS,1,12662,CSC,200,11,MW,4:50pm -6:05pm,MO 8,"Chhabra, Ajay",LEC,18,,,3,,
AS,1,11041,CSC,207,1,W,1:10pm -3:00pm,JE 139B,"Elahi, Ataollah",LAB,12,,,4,     ,
AS,1,11042,CSC,207,2,R,5:00pm-6:50pm,JE 139B,"Staff, TBA",LAB,12,,,4,     ,
AS,1,11044,CSC,212,1,TR,9:35am -10:50am,MO 8,"Abdel Raouf, Amal",LEC,18,,,3,     ,
AS,1,11045,CSC,212,2,TR,1:50pm -3:05pm,MO 8,"Abdel Raouf, Amal",LEC,18,,,3,     ,
AS,1,11046,CSC,212,3,TR,4:50pm -6:05pm,JE 139A,"Yu Ng, Winnie",LEC,14,,,3,,
AS,1,11047,CSC,229,1,TR,1:50pm -3:05pm,MO 113,"BaradaranSeyed, Taraneh",LEC,18,,,3,     ,
AS,1,11048,CSC,229,2,T,5:00pm -7:30pm,MO 113,"BaradaranSeyed, Taraneh",LEC,18,,,3,     ,
AS,1,11049,CSC,235,1,TR,9:35am -10:50am,MO 113,"Al Seesi, Sahar",LEC,20,,,3,     ,
AS,1,11050,CSC,235,2,R,5:00pm -7:30pm,ONLINE SYNC,"Podnar, Hrvoje",LEC,20,,,3,     ,
AS,1,11051,CSC,265,1,TR,12:25pm -1:40pm,JE 139B,"Elahi, Ataollah",LEC,15,,,3,     ,
AS,1,11052,CSC,265,2,W,5:00pm -7:30pm,JE 139B,"Elahi, Ataollah",LEC,15,,,3,     ,
AS,1,11053,CSC,321,1,MW,3:25pm -4:40pm,MO 113,"Hossain, MD",LEC,20,,,3,     ,
AS,1,11054,CSC,324,01W,TR,TBD,ONLINE SYNC,"Lockwood, Heidi",LEC,18,,,3,Dual listed w/PHI 324-01W     ,
AS,1,11055,CSC,324,02W,M,TBD,ONLINE SYNC,"Lockwood, Heidi",LEC,18,,,3,Dual listed w/PHI 324-02W     ,
AS,1,11056,CSC,330,1,TR,11:00am -12:15pm,JE 111,"Al Seesi, Sahar",LEC,20,,,3,,
AS,1,11057,CSC,330,2,M,4:50pm -6:05pm,JE 111,"Antonios, Imad",LEC,20,,,3,Hybrid Course     ,
AS,1,12384,DSC,205,1,W,2:00pm -3:15pm,ONLINE SYNC,"Antonios, Imad",LEC,20,,,3,Hybrid Course     ,
AS,1,12385,DSC,500,1,TR,7:40pm -8:55pm,ONLINE SYNC,"Staff, TBA",LEC,20,,,3,,
AS,1,12386,DSC,501,1,M,5:00pm-7:30pm,ONLINE SYNC,"Islam, Mohammad",LEC,20,,,3,Dual listed w/CSC 501-01,
AS,1,11059,CSC,400,01W,T,5:00pm -7:30pm,ONLINE SYNC,"Hossain, MD",SEM,20,DA,,3,Dept Advisor Permission Required,
AS,1,11060,CSC,421,1,TR,1:50pm -3:05pm,MO 13,"Wu, Hao",LEC,20,,,3,     ,
AS,1,11061,CSC,424,1,R,5:00pm -7:30pm,SCI 214,"Brenckle, Nicholas",LEC,16,,,3,     ,
AS,1,11062,CSC,443,1,TR,12:25pm -1:40pm,JE 139A,"Wu, Hao",LEC,16,,,3,     ,
AS,1,12471,CSC,463,1,W,5:00pm -7:30pm,SCI 214,"Wu, Hao",LEC,16,DC,,3,Open only to students who are graduating in December 2023;  Dual listed w/CSC 563-01   ,
AS,1,11063,CSC,477,1,MW,2:00pm -3:15pm,JE 139A,"Hossain, MD",LEC,16,,,3,,
AS,1,12234,CSC,500,1,R,5:00pm -7:30pm,ONLINE SYNC,"Staff, TBA",LEC,20,,,3,     ,
AS,1,12392,CSC,501,1,M,5:00pm -7:30pm,ONLINE SYNC,"Islam, Mohammad",LEC,20,,,3,Dual listed w/DSC 501-01,
AS,1,12236,CSC,535,1,W,5:00pm -7:30pm,MO 10,"Sheta, Alaa",LEC,20,,,3,     ,
AS,1,11064,CSC,540,1,R,5:00pm -7:30pm,ONLINE SYNC,"Staff, TBA",LEC,20,,,3,     ,
AS,1,11065,CSC,563,1,M,5:00pm -7:30pm,SCI 214,"Wu, Hao",LEC,16,,,3,Dual listed w/ CSC 463-01     ,
AS,1,11066,DSC,100,1,TR,9:35am -10:50am,JE 139A,"Kim, Chang Suk",LEC,16,,,3, ,
